Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Medium (31-90 days),Mycophenolate..C18.,1139580.85,872004.9500000003,-267575.8999999998,0.29779206277732967,0.9444329669790502
Medium (31-90 days),Mycophenolate..HILIC.,25437803.04999998,18658353.746258095,-6779449.3037418835,0.24455710167243752,0.9444329669790502
Medium (31-90 days),X11.Dehydrocorticosterone..HILIC.,41386.70000000001,28797.249999999993,-12589.450000000019,0.42596681278775245,0.9842726757077296
Medium (31-90 days),Prednisone..HILIC.,36440.85000000002,40975.09999999996,4534.249999999942,0.7678322811618331,0.9842726757077296
Medium (31-90 days),Cortisone..HILIC.,26350.200000000004,31914.9,5564.699999999997,0.9511358645945761,0.9842726757077296
Medium (31-90 days),Tetrahydrocorticosterone..C18.,1056534.5499999998,1047260.2499999993,-9274.300000000512,0.9842726757077296,0.9842726757077296
Medium (31-90 days),Tetrahydrocortisone..C18.,66769.05,56435.44999999997,-10333.600000000035,0.8223336666113945,0.9842726757077296
Medium (31-90 days),Prednisone..C18.,52758.34999999998,42496.40000000004,-10261.949999999939,0.2883175152707268,0.9444329669790502
Medium (31-90 days),Cortisone.acetate..HILIC.,51565.249999999956,44396.249999999985,-7168.999999999971,0.20702609925525406,0.9444329669790502
Medium (31-90 days),Dexamethasone.acetate.anhydrous..C18.,51160.100000000006,46155.500000000015,-5004.599999999991,0.890424379930903,0.9842726757077296
Medium (31-90 days),Fludrocortisone.acetate..HILIC.,25466.849999999984,26701.35000000002,1234.5000000000364,0.7980346369455842,0.9842726757077296
Medium (31-90 days),Fludrocortisone..C18.,54031.05000000002,61205.95,7174.89999999998,0.7084146709784827,0.9842726757077296
Medium (31-90 days),Hydrocortisone.sodium.succinate..HILIC.,26963.34999999999,43093.50000000003,16130.150000000038,0.5150753953930358,0.9842726757077296
Medium (31-90 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,1146755.600000001,773645.7513989295,-373109.8486010715,0.33729748820680366,0.9444329669790502
