Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Q2 (Early-Med),Mycophenolate..C18.,853425.7000000004,1021922.3000000003,168496.59999999986,0.7768631813125694,1
Q2 (Early-Med),Mycophenolate..HILIC.,25061834.64238704,43698773.09999999,18636938.457612947,0.3325852653958983,1
Q2 (Early-Med),X11.Dehydrocorticosterone..HILIC.,51617.55000000005,49992.5,-1625.0500000000466,0.974860956618465,1
Q2 (Early-Med),Prednisone..HILIC.,42817.049999999996,47472.60000000002,4655.550000000025,0.6812013348164625,1
Q2 (Early-Med),Cortisone..HILIC.,38824.65000000004,32647.899999999983,-6176.750000000055,1,1
Q2 (Early-Med),Tetrahydrocorticosterone..C18.,1065874.65,656627.3999999994,-409247.25000000047,0.5454949944382647,1
Q2 (Early-Med),Tetrahydrocortisone..C18.,86234.65000000004,92564.1000000001,6329.450000000055,0.974860956618465,1
Q2 (Early-Med),Prednisone..C18.,40491.850000000006,97584.00000000006,57092.15000000005,0.6161480335402807,1
Q2 (Early-Med),Cortisone.acetate..HILIC.,53298.450000000026,35557.699999999975,-17740.75000000005,0.12191323692992212,1
Q2 (Early-Med),Dexamethasone.acetate.anhydrous..C18.,44010.84999999999,31096.19999999999,-12914.650000000001,0.5454949944382647,1
Q2 (Early-Med),Fludrocortisone.acetate..HILIC.,27324.799999999996,33219.80000000002,5895.000000000022,0.3159065628476084,1
Q2 (Early-Med),Fludrocortisone..C18.,53214.04999999999,59415.000000000015,6200.950000000026,0.8258064516129031,1
Q2 (Early-Med),Hydrocortisone.sodium.succinate..HILIC.,32401.450000000033,40228.300000000025,7826.849999999991,0.5454949944382647,1
Q2 (Early-Med),Mycophenolic.acid.O.acyl.glucuronide..C18.,882535.45,1384279.0999999996,501743.6499999997,0.3324389798537876,1
