Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Q3 (Med-Late),Mycophenolate..C18.,1157977.0500000003,602258.3999999999,-555718.6500000004,0.21036833938457355,0.7362891878460074
Q3 (Med-Late),Mycophenolate..HILIC.,25525677.349999987,6875667.792516193,-18650009.557483792,0.14098869569180897,0.7362891878460074
Q3 (Med-Late),X11.Dehydrocorticosterone..HILIC.,42658.999999999985,25159.79999999997,-17499.200000000015,0.14108838311494126,0.7362891878460074
Q3 (Med-Late),Prednisone..HILIC.,36440.85000000002,35250.59999999994,-1190.25000000008,1,1
Q3 (Med-Late),Cortisone..HILIC.,26350.200000000004,6082.699999999995,-20267.500000000007,0.49055710339213615,0.9811142067842723
Q3 (Med-Late),Tetrahydrocorticosterone..C18.,1056534.5499999998,1111995.5999999987,55461.04999999888,0.3815982404692082,0.8903958944281526
Q3 (Med-Late),Tetrahydrocortisone..C18.,51309.7,63735.099999999926,12425.399999999929,0.6385640323933744,0.9933218281674714
Q3 (Med-Late),Prednisone..C18.,46440.05,47720.00000000008,1279.9500000000771,0.8755844129240697,1
Q3 (Med-Late),Cortisone.acetate..HILIC.,51565.249999999956,53234.8,1669.5500000000466,0.5714809384164222,0.9933218281674714
Q3 (Med-Late),Dexamethasone.acetate.anhydrous..C18.,51160.100000000006,60545.000000000015,9384.900000000009,0.8365102639296185,1
Q3 (Med-Late),Fludrocortisone.acetate..HILIC.,24929.399999999994,24387.600000000002,-541.799999999992,1,1
Q3 (Med-Late),Fludrocortisone..C18.,55693.500000000044,61519.89999999996,5826.399999999914,0.3815982404692082,0.8903958944281526
Q3 (Med-Late),Hydrocortisone.sodium.succinate..HILIC.,28043.999999999985,45958.70000000003,17914.700000000048,0.9296187683284454,1
Q3 (Med-Late),Mycophenolic.acid.O.acyl.glucuronide..C18.,1146755.600000001,427142.30000000005,-719613.300000001,0.21036833938457355,0.7362891878460074
