Stratum,Metabolite,Mean_0_1R,Mean_2R_plus,mean_diff,p_value,FDR,Analysis_Group
Early (≤30 days),Mycophenolate..C18.,1142435.5212189478,1071935.1428571427,-70500.37836180511,0.7328265139493534,0.9593161360441659,Predefined
Early (≤30 days),Mycophenolate..HILIC.,39533480.726883665,39709716.43214286,176235.70525919646,0.9839670557801984,0.9839670557801984,Predefined
Early (≤30 days),X11.Dehydrocorticosterone..HILIC.,57055.743019751346,37449.45357142856,-19606.289448322786,0.08601429077473947,0.6021000354231764,Predefined
Early (≤30 days),Prednisone..HILIC.,50113.84418451272,47464.47857142858,-2649.365613084141,0.6651478285970654,0.9593161360441659,Predefined
Early (≤30 days),Cortisone..HILIC.,42360.639539422846,37049.810706114455,-5310.828833308391,0.5190441661932539,0.9593161360441659,Predefined
Early (≤30 days),Tetrahydrocorticosterone..C18.,1119337.7419285977,1123580.5571428565,4242.8152142588515,0.9578891046125586,0.9839670557801984,Predefined
Early (≤30 days),Tetrahydrocortisone..C18.,75129.01396065282,91275.70714285715,16146.693182204326,0.309909085175864,0.9593161360441659,Predefined
Early (≤30 days),Prednisone..C18.,88956.18837143293,147034.42501170616,58078.23664027323,0.3690974418133065,0.9593161360441659,Predefined
Early (≤30 days),Cortisone.acetate..HILIC.,57474.40232897635,48725.04285714285,-8749.3594718335,0.07517718286407617,0.6021000354231764,Predefined
Early (≤30 days),Dexamethasone.acetate.anhydrous..C18.,54930.59302326166,58165.1357142857,3234.542691024042,0.7720156830202297,0.9593161360441659,Predefined
Early (≤30 days),Fludrocortisone.acetate..HILIC.,28841.297674418605,29581.70714285715,740.4094684385454,0.8222709737521421,0.9593161360441659,Predefined
Early (≤30 days),Fludrocortisone..C18.,63288.57675034501,54000.828571428574,-9287.748178916438,0.1937666217565052,0.904244234863691,Predefined
Early (≤30 days),Hydrocortisone.sodium.succinate..HILIC.,37502.78023126111,42882.89285245563,5380.112621194523,0.6432706018840915,0.9593161360441659,Predefined
Early (≤30 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,1220528.0744225853,1158527.2857142852,-62000.7887083001,0.8139514423124309,0.9593161360441659,Predefined
Medium (31-90 days),Mycophenolate..C18.,1222830.0399999996,752411.0999999994,-470418.9400000002,0.20508545002367642,0.5409808987297734,Predefined
Medium (31-90 days),Mycophenolate..HILIC.,37563135.65984369,17506855.88562905,-20056279.77421464,0.07758059148021246,0.5409808987297734,Predefined
Medium (31-90 days),X11.Dehydrocorticosterone..HILIC.,48697.92249674584,39802.04999999999,-8895.872496745855,0.6369600141763458,0.9296057494345654,Predefined
Medium (31-90 days),Prednisone..HILIC.,42040.26249999999,40453.774999999965,-1586.4875000000247,0.8422283582716553,0.9296057494345654,Predefined
Medium (31-90 days),Cortisone..HILIC.,32811.9275,31223.837499999994,-1588.0900000000038,0.9296057494345654,0.9296057494345654,Predefined
Medium (31-90 days),Tetrahydrocorticosterone..C18.,1060244.245047659,1104336.2749999997,44092.02995234076,0.8514542087400373,0.9296057494345654,Predefined
Medium (31-90 days),Tetrahydrocortisone..C18.,87456.495,68231.04999999999,-19225.445000000007,0.38167033021554986,0.7633406604310997,Predefined
Medium (31-90 days),Prednisone..C18.,78336.08123644748,34675.93750000002,-43660.14373644746,0.024826972466695685,0.3475776145337396,Predefined
Medium (31-90 days),Cortisone.acetate..HILIC.,58150.014998696424,45243.450000000004,-12906.56499869642,0.1680446564792167,0.5409808987297734,Predefined
Medium (31-90 days),Dexamethasone.acetate.anhydrous..C18.,52133.38250000001,45332.77500000001,-6800.607499999998,0.5369764676614677,0.9296057494345654,Predefined
Medium (31-90 days),Fludrocortisone.acetate..HILIC.,29771.81999728086,26478.75000000001,-3293.0699972808507,0.23184895659847432,0.5409808987297734,Predefined
Medium (31-90 days),Fludrocortisone..C18.,58989.14749999999,60131.075000000004,1141.9275000000125,0.9060290531683736,0.9296057494345654,Predefined
Medium (31-90 days),Hydrocortisone.sodium.succinate..HILIC.,34028.617499288186,36971.72500000002,2943.1075007118343,0.749244026930961,0.9296057494345654,Predefined
Medium (31-90 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,1334235.884823226,734375.8506994647,-599860.0341237612,0.15679012092432895,0.5409808987297734,Predefined
