Stratum,Metabolite,Median_No_2R,Median_Has_2R,median_diff,p_value,n_no_2R,n_has_2R,FDR
Above Median,Mycophenolate..C18.,1150379.3000000003,812675.7750000003,-337703.525,0.13025210084033614,13,4,0.607843137254902
Above Median,Mycophenolate..HILIC.,31621931.100000005,8958585.869144332,-22663345.230855674,0.015126050420168066,13,4,0.2117647058823529
Above Median,X11.Dehydrocorticosterone..HILIC.,40589.90000000002,26290.137500000004,-14299.762500000019,0.5710636275686423,13,4,0.8452488687782805
Above Median,Prednisone..HILIC.,36904.350000000006,44731.65000000001,7827.300000000003,0.7033613445378151,13,4,0.8452488687782805
Above Median,Cortisone..HILIC.,27047.849999999977,30992.575000000004,3944.7250000000276,0.4117647058823529,13,4,0.8452488687782805
Above Median,Tetrahydrocorticosterone..C18.,1089287.099999999,1058201.3240602012,-31085.77593979775,0.7848739495798319,13,4,0.8452488687782805
Above Median,Tetrahydrocortisone..C18.,68628.4,54808.34999999996,-13820.050000000032,0.7848739495798319,13,4,0.8452488687782805
Above Median,Prednisone..C18.,70530.14999999994,52284.92500000001,-18245.224999999926,0.7848739495798319,13,4,0.8452488687782805
Above Median,Cortisone.acetate..HILIC.,55491.900000000016,49651.80000000002,-5840.0999999999985,0.35042016806722687,13,4,0.8452488687782805
Above Median,Dexamethasone.acetate.anhydrous..C18.,51125.15000000002,34025.525000000016,-17099.625000000007,0.059663865546218484,13,4,0.41764705882352937
Above Median,Fludrocortisone.acetate..HILIC.,26959.550000000003,26024.275,-935.2750000000015,0.8705882352941177,13,4,0.8705882352941177
Above Median,Fludrocortisone..C18.,58599.00000000002,56920.249999999985,-1678.7500000000364,0.6235294117647058,13,4,0.8452488687782805
Above Median,Hydrocortisone.sodium.succinate..HILIC.,25976.60000000001,32912.99999999999,6936.399999999983,0.6235294117647058,13,4,0.8452488687782805
Above Median,Mycophenolic.acid.O.acyl.glucuronide..C18.,1182505.5019444597,1116945.0006994647,-65560.50124499504,0.7033613445378151,13,4,0.8452488687782805
