Stratum,Metabolite,Median_No_2R,Median_Has_2R,median_diff,p_value,n_no_2R,n_has_2R,FDR
Below Median,Mycophenolate..C18.,904509.3499999996,998961.2250000009,94451.87500000128,0.5052287581699346,4,14,0.6430184194890077
Below Median,Mycophenolate..HILIC.,20532629.250000007,35828258.90000003,15295629.65000002,0.046405228758169936,4,14,0.32483660130718955
Below Median,X11.Dehydrocorticosterone..HILIC.,42190.30000000003,46725.94999999999,4535.649999999958,0.6450980392156862,4,14,0.6947209653092005
Below Median,Prednisone..HILIC.,46719.45000000002,45170.5,-1548.950000000019,0.38169934640522873,4,14,0.6430184194890077
Below Median,Cortisone..HILIC.,47226.62500000001,32443.249999999978,-14783.37500000003,0.2771241830065359,4,14,0.6430184194890077
Below Median,Tetrahydrocorticosterone..C18.,1051226.1249999977,1095322.2007469556,44096.07574695791,0.6450980392156862,4,14,0.6947209653092005
Below Median,Tetrahydrocortisone..C18.,75850.69999999998,65025.00008727466,-10825.699912725322,0.3274509803921568,4,14,0.6430184194890077
Below Median,Prednisone..C18.,78722.12500000004,57521.200000000026,-21200.925000000017,0.5052287581699346,4,14,0.6430184194890077
Below Median,Cortisone.acetate..HILIC.,57383.22500000002,51720.74999999999,-5662.475000000028,0.4418300653594771,4,14,0.6430184194890077
Below Median,Dexamethasone.acetate.anhydrous..C18.,72467.75000000006,46134.25000000002,-26333.500000000036,0.011764705882352941,4,14,0.16470588235294117
Below Median,Fludrocortisone.acetate..HILIC.,22817.14999999998,28912.25,6095.10000000002,0.3274509803921568,4,14,0.6430184194890077
Below Median,Fludrocortisone..C18.,55999.850000000006,49835.45000000001,-6164.399999999994,0.38169934640522873,4,14,0.6430184194890077
Below Median,Hydrocortisone.sodium.succinate..HILIC.,30083.60000000002,29144.499999999993,-939.1000000000276,0.9588235294117649,4,14,0.9588235294117649
Below Median,Mycophenolic.acid.O.acyl.glucuronide..C18.,1575307.6,1059762.7999999993,-515544.80000000075,0.15751633986928104,4,14,0.6430184194890077
