Stratum,Metabolite,Median_No_2R,Median_Has_2R,median_diff,p_value,n_no_2R,n_has_2R,FDR
Q1 (Earliest),Mycophenolate..C18.,790763.0249999994,1036902.9999999995,246139.9750000001,0.5532212885154062,6,12,0.8679555738379268
Q1 (Earliest),Mycophenolate..HILIC.,28108373.17500002,36612594.62500005,8504221.450000033,0.8200818789054083,6,12,0.8831651003596704
Q1 (Earliest),X11.Dehydrocorticosterone..HILIC.,47138.97500000002,40862.97499999997,-6276.000000000051,0.6819650937297996,6,12,0.8679555738379268
Q1 (Earliest),Prednisone..HILIC.,58410.40000000001,53178.45000000002,-5231.94999999999,0.6164619694031459,6,12,0.8679555738379268
Q1 (Earliest),Cortisone..HILIC.,29414.899999999987,37448.324990354246,8033.424990354259,0.6819650937297996,6,12,0.8679555738379268
Q1 (Earliest),Tetrahydrocorticosterone..C18.,1088575.8000000003,1178573.8750000007,89998.07500000042,0.8916181857358327,6,12,0.8916181857358327
Q1 (Earliest),Tetrahydrocortisone..C18.,78030.20000000001,65479.20000000002,-12550.999999999993,0.7502693385046326,6,12,0.8753142282554048
Q1 (Earliest),Prednisone..C18.,107417.02500000002,98277.37500000003,-9139.649999999994,0.43708252531781944,6,12,0.8679555738379268
Q1 (Earliest),Cortisone.acetate..HILIC.,56065.94999999997,51720.74999999999,-4345.199999999975,0.33548804137039434,6,12,0.8679555738379268
Q1 (Earliest),Dexamethasone.acetate.anhydrous..C18.,79009.20000000004,47817.99999999999,-31191.200000000048,0.024455936220642106,6,12,0.3423831070889895
Q1 (Earliest),Fludrocortisone.acetate..HILIC.,22253.100000000006,29650.924999999977,7397.824999999972,0.49364361129067014,6,12,0.8679555738379268
Q1 (Earliest),Fludrocortisone..C18.,69163.225,52291.325,-16871.90000000001,0.08306399482870072,6,12,0.581447963800905
Q1 (Earliest),Hydrocortisone.sodium.succinate..HILIC.,30157.800013819215,31673.24999999999,1515.4499861807744,0.6164619694031459,6,12,0.8679555738379268
Q1 (Earliest),Mycophenolic.acid.O.acyl.glucuronide..C18.,1448561.8250000007,1064746.0749999993,-383815.7500000014,0.33548804137039434,6,12,0.8679555738379268
