Stratum,Metabolite,Median_No_2R,Median_Has_2R,median_diff,p_value,n_no_2R,n_has_2R,FDR
Q4 (Latest),Mycophenolate..C18.,1140324.8250000004,843187.4000000007,-297137.4249999997,0.31648351648351647,12,4,0.8861538461538461
Q4 (Latest),Mycophenolate..HILIC.,25962099.312500004,11057287.199999992,-14904812.112500012,0.07802197802197802,12,4,0.5461538461538462
Q4 (Latest),X11.Dehydrocorticosterone..HILIC.,25408.70000000002,24939.86250000001,-468.83750000000873,0.8552381466113881,12,4,1
Q4 (Latest),Prednisone..HILIC.,43474.399999999994,44838.29999999997,1363.8999999999724,0.9527472527472529,12,4,1
Q4 (Latest),Cortisone..HILIC.,27921.07499999998,34116.200025304126,6195.125025304147,0.21208791208791208,12,4,0.8861538461538461
Q4 (Latest),Tetrahydrocorticosterone..C18.,1108613.2500000002,1109268.399060201,655.149060200667,0.8615384615384615,12,4,1
Q4 (Latest),Tetrahydrocortisone..C18.,64679.65000000004,42219.049999999996,-22460.600000000042,0.4461538461538461,12,4,1
Q4 (Latest),Prednisone..C18.,88291.32500000001,54380.79990422651,-33910.525095773504,0.31648351648351647,12,4,0.8861538461538461
Q4 (Latest),Cortisone.acetate..HILIC.,51469.200000000026,50502.05000000002,-967.1500000000087,0.8615384615384615,12,4,1
Q4 (Latest),Dexamethasone.acetate.anhydrous..C18.,54865.250000000015,20522.150000000005,-34343.100000000006,0.03910594620994303,12,4,0.5461538461538462
Q4 (Latest),Fludrocortisone.acetate..HILIC.,26148.07497939544,20089.224999999988,-6058.849979395451,0.6835164835164834,12,4,1
Q4 (Latest),Fludrocortisone..C18.,53569.225000000006,51658.750000000015,-1910.4749999999913,1,12,4,1
Q4 (Latest),Hydrocortisone.sodium.succinate..HILIC.,27646.399999999994,26454.9,-1191.4999999999927,0.6835164835164834,12,4,1
Q4 (Latest),Mycophenolic.acid.O.acyl.glucuronide..C18.,1140531.7750000004,1168181.9999999998,27650.224999999395,0.7703296703296703,12,4,1
