Stratum,Metabolite,Mean_0_1R,Mean_2R_plus,mean_diff,p_value,FDR
Above Median,Mycophenolate..C18.,1202629.893103448,790464.5428571427,-412165.3502463052,0.05109764241799886,0.35768349692599205
Above Median,Mycophenolate..HILIC.,36901859.36345391,17829823.81808248,-19072035.545371428,0.0222652557509529,0.31171358051334064
Above Median,X11.Dehydrocorticosterone..HILIC.,45243.24051499713,42177.45000000002,-3065.790514997112,0.840359877726954,0.9100253622484163
Above Median,Prednisone..HILIC.,42785.30344827586,53111.79999999996,10326.4965517241,0.32724425568703636,0.5293753091916582
Above Median,Cortisone..HILIC.,32165.89913793103,35992.17857865832,3826.2794407272922,0.7745017994750364,0.9100253622484163
Above Median,Tetrahydrocorticosterone..C18.,1095983.7534230861,1205563.4426635073,109579.68924042117,0.2631128250922741,0.5293753091916582
Above Median,Tetrahydrocortisone..C18.,77698.24655171229,74952.19999999997,-2746.046551712323,0.8450235506592438,0.9100253622484163
Above Median,Prednisone..C18.,81195.78103019048,59047.65000000003,-22148.131030190452,0.340312698766066,0.5293753091916582
Above Median,Cortisone.acetate..HILIC.,54283.06896487723,49178.771428571425,-5104.297536305807,0.33389156160407685,0.5293753091916582
Above Median,Dexamethasone.acetate.anhydrous..C18.,51638.599999807346,51230.90000003585,-407.69999977149564,0.984098929848356,0.984098929848356
Above Median,Fludrocortisone.acetate..HILIC.,27825.93965536553,19059.814285714292,-8766.12536965124,0.11787651657726365,0.42434074238990827
Above Median,Fludrocortisone..C18.,60113.496551724136,62907,2793.503448275864,0.7096853423767016,0.9100253622484163
Above Median,Hydrocortisone.sodium.succinate..HILIC.,35838.248275862075,29965.142857142862,-5873.105418719213,0.3219501273190619,0.5293753091916582
Above Median,Mycophenolic.acid.O.acyl.glucuronide..C18.,1176785.6862876096,844541.2572181233,-332244.42906948633,0.12124021211140236,0.42434074238990827
