Stratum,Metabolite,Mean_0_1R,Mean_2R_plus,mean_diff,p_value,FDR
Below Median,Mycophenolate..C18.,1153280.9115549955,1076589.5666666667,-76691.34488832881,0.6896803363230346,0.9800381959363056
Below Median,Mycophenolate..HILIC.,38969403.25565558,39168516.82333334,199113.56767775863,0.9800381959363056,0.9800381959363056
Below Median,X11.Dehydrocorticosterone..HILIC.,56559.44244998694,40793.016666666656,-15766.425783320286,0.14712021614279355,0.9800381959363056
Below Median,Prednisone..HILIC.,48518.99811196315,47920.773333333345,-598.224778629803,0.9151924410546501,0.9800381959363056
Below Median,Cortisone..HILIC.,41341.334909343066,38429.62999237349,-2911.7049169695747,0.7048149704439526,0.9800381959363056
Below Median,Tetrahydrocorticosterone..C18.,1098298.4340175414,1091827.8933333328,-6470.540684208507,0.9350111249532147,0.9800381959363056
Below Median,Tetrahydrocortisone..C18.,80272.7792510957,88284.28,8011.5007489043055,0.6144262996210614,0.9800381959363056
Below Median,Prednisone..C18.,92319.49338654566,137239.91334425908,44920.41995771343,0.4584835586644077,0.9800381959363056
Below Median,Cortisone.acetate..HILIC.,57468.23019143364,47847.219999999994,-9621.010191433648,0.037900595315396024,0.5306083344155443
Below Median,Dexamethasone.acetate.anhydrous..C18.,54159.99433962738,56140.03999999999,1980.0456603726125,0.8505185016553058,0.9800381959363056
Below Median,Fludrocortisone.acetate..HILIC.,28843.41509203564,29557.406666666673,713.9915746310326,0.8162165241525049,0.9800381959363056
Below Median,Fludrocortisone..C18.,60655.73774084595,52974.920000000006,-7680.817740845945,0.2444933301471765,0.9800381959363056
Below Median,Hydrocortisone.sodium.succinate..HILIC.,35888.019809731224,42705.919995625256,6817.900185894032,0.5236394629600454,0.9800381959363056
Below Median,Mycophenolic.acid.O.acyl.glucuronide..C18.,1293693.590435853,1173577.406666666,-120116.18376918696,0.6229762730676665,0.9800381959363056
