Stratum,Metabolite,Mean_0_1R,Mean_2R_plus,mean_diff,p_value,FDR
Late (91-180 days),Mycophenolate..C18.,1172803.325,916339.7250000006,-256463.5999999994,0.15614772279591052,0.6574017292232583
Late (91-180 days),Mycophenolate..HILIC.,35829325.64215454,21593266.371015295,-14236059.271139242,0.224183575160371,0.6574017292232583
Late (91-180 days),X11.Dehydrocorticosterone..HILIC.,43587.30535714285,55909.21250000003,12321.907142857177,0.6341058310311558,0.9863868482706868
Late (91-180 days),Prednisone..HILIC.,43448.16785714286,66069.09999999995,22620.93214285709,0.1636044725545316,0.6574017292232583
Late (91-180 days),Cortisone..HILIC.,32954.582142857136,46199.25001265207,13244.667869794932,0.4919608399412433,0.9566065128840331
Late (91-180 days),Tetrahydrocorticosterone..C18.,1115556.4998797367,1167222.3996611382,51665.8997814015,0.4086995980801267,0.9536323955202957
Late (91-180 days),Tetrahydrocortisone..C18.,72576.72142854691,74536.37499999996,1959.6535714530473,0.912537454338771,0.9872505978563587
Late (91-180 days),Prednisone..C18.,94418.89642173046,68686.63750000003,-25732.258921730434,0.5466322930765903,0.9566065128840331
Late (91-180 days),Cortisone.acetate..HILIC.,49886.9392862508,49708.82499999998,-178.11428625082044,0.9774810538881069,0.9872505978563587
Late (91-180 days),Dexamethasone.acetate.anhydrous..C18.,50648.84642817236,51268.475000062725,619.6285718903673,0.9872505978563587,0.9872505978563587
Late (91-180 days),Fludrocortisone.acetate..HILIC.,25412.746428494836,14180.224999999995,-11232.521428494842,0.23478633186544942,0.6574017292232583
Late (91-180 days),Fludrocortisone..C18.,57870.07857142857,59609.225,1739.146428571432,0.8916382651582935,0.9872505978563587
Late (91-180 days),Hydrocortisone.sodium.succinate..HILIC.,35961.4,25524.35,-10437.050000000003,0.03168872120602626,0.4436420968843677
Late (91-180 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,1105970.9823100483,1089641.124432251,-16329.857877797214,0.8345456805501745,0.9872505978563587
