Stratum,Metabolite,Mean_0_1R,Mean_2R_plus,mean_diff,p_value,FDR
Medium (31-90 days),Mycophenolate..C18.,1222830.0399999996,752411.0999999994,-470418.9400000002,0.20508545002367642,0.5409808987297734
Medium (31-90 days),Mycophenolate..HILIC.,37563135.65984369,17506855.88562905,-20056279.77421464,0.07758059148021246,0.5409808987297734
Medium (31-90 days),X11.Dehydrocorticosterone..HILIC.,48697.92249674584,39802.04999999999,-8895.872496745855,0.6369600141763458,0.9296057494345654
Medium (31-90 days),Prednisone..HILIC.,42040.26249999999,40453.774999999965,-1586.4875000000247,0.8422283582716553,0.9296057494345654
Medium (31-90 days),Cortisone..HILIC.,32811.9275,31223.837499999994,-1588.0900000000038,0.9296057494345654,0.9296057494345654
Medium (31-90 days),Tetrahydrocorticosterone..C18.,1060244.245047659,1104336.2749999997,44092.02995234076,0.8514542087400373,0.9296057494345654
Medium (31-90 days),Tetrahydrocortisone..C18.,87456.495,68231.04999999999,-19225.445000000007,0.38167033021554986,0.7633406604310997
Medium (31-90 days),Prednisone..C18.,78336.08123644748,34675.93750000002,-43660.14373644746,0.024826972466695685,0.3475776145337396
Medium (31-90 days),Cortisone.acetate..HILIC.,58150.014998696424,45243.450000000004,-12906.56499869642,0.1680446564792167,0.5409808987297734
Medium (31-90 days),Dexamethasone.acetate.anhydrous..C18.,52133.38250000001,45332.77500000001,-6800.607499999998,0.5369764676614677,0.9296057494345654
Medium (31-90 days),Fludrocortisone.acetate..HILIC.,29771.81999728086,26478.75000000001,-3293.0699972808507,0.23184895659847432,0.5409808987297734
Medium (31-90 days),Fludrocortisone..C18.,58989.14749999999,60131.075000000004,1141.9275000000125,0.9060290531683736,0.9296057494345654
Medium (31-90 days),Hydrocortisone.sodium.succinate..HILIC.,34028.617499288186,36971.72500000002,2943.1075007118343,0.749244026930961,0.9296057494345654
Medium (31-90 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,1334235.884823226,734375.8506994647,-599860.0341237612,0.15679012092432895,0.5409808987297734
