Stratum,Metabolite,Mean_0_1R,Mean_2R_plus,mean_diff,p_value,FDR
Q1 (Earliest),Mycophenolate..C18.,1219891.708498612,1090779.8833333333,-129111.82516527874,0.6171464806259389,0.9330869541716456
Q1 (Earliest),Mycophenolate..HILIC.,40024888.441664405,39017580.28750001,-1007308.1541643962,0.9216910069185789,0.9330869541716456
Q1 (Earliest),X11.Dehydrocorticosterone..HILIC.,50726.25999397232,36719.24583333332,-14007.014160639003,0.27175879822593907,0.9330869541716456
Q1 (Earliest),Prednisone..HILIC.,54409.155999999995,47771.866666666676,-6637.2893333333195,0.4079146171743103,0.9330869541716456
Q1 (Earliest),Cortisone..HILIC.,35481.95200780731,38589.270823800194,3107.318815992883,0.7244357911368764,0.9330869541716456
Q1 (Earliest),Tetrahydrocorticosterone..C18.,1155784.468,1139039.6416666661,-16744.82633333397,0.8302246267162486,0.9330869541716456
Q1 (Earliest),Tetrahydrocortisone..C18.,63180.90000534086,90585,27404.09999465914,0.1343755387915518,0.9167893930344305
Q1 (Earliest),Prednisone..C18.,127102.52999886464,152303.0875136572,25200.557514792556,0.7413142382431949,0.9330869541716456
Q1 (Earliest),Cortisone.acetate..HILIC.,57082.012003619035,50088.23333333333,-6993.778670285705,0.19645486993594938,0.9167893930344305
Q1 (Earliest),Dexamethasone.acetate.anhydrous..C18.,60348.44,61443.299999999996,1094.8599999999933,0.9330869541716456,0.9330869541716456
Q1 (Earliest),Fludrocortisone.acetate..HILIC.,26316.719999999998,28604.341666666674,2287.621666666677,0.5393743846938754,0.9330869541716456
Q1 (Earliest),Fludrocortisone..C18.,65254.67600579287,51527.19166666667,-13727.484339126197,0.11889176492301493,0.9167893930344305
Q1 (Earliest),Hydrocortisone.sodium.succinate..HILIC.,31922.941997769103,43977.674994531575,12054.732996762472,0.3693480383697241,0.9330869541716456
Q1 (Earliest),Mycophenolic.acid.O.acyl.glucuronide..C18.,1256585.2239680213,1086229.1583333325,-170356.06563468883,0.5698534369672226,0.9330869541716456
