Stratum,Metabolite,Mean_0_1R,Mean_2R_plus,mean_diff,p_value,FDR
Q2 (Early-Med),Mycophenolate..C18.,1093806.9857124805,1019828.2999999999,-73978.68571248057,0.6818780761374118,0.8679877264478644
Q2 (Early-Med),Mycophenolate..HILIC.,38027005.7681477,39772262.96666667,1745257.1985189691,0.8419091686582524,0.8679877264478644
Q2 (Early-Med),X11.Dehydrocorticosterone..HILIC.,61767.641071428574,57088.09999999999,-4679.541071428583,0.8148223203769844,0.8679877264478644
Q2 (Early-Med),Prednisone..HILIC.,43259.928569073105,48516.40000000001,5256.471430926904,0.3292942608531818,0.8679877264478644
Q2 (Early-Med),Cortisone..HILIC.,46572.92678571428,37791.066666666666,-8781.860119047611,0.520196846161919,0.8679877264478644
Q2 (Early-Med),Tetrahydrocorticosterone..C18.,1046971.6179617748,902980.8999999998,-143990.71796177502,0.6276393721465084,0.8679877264478644
Q2 (Early-Med),Tetrahydrocortisone..C18.,95533.38572051964,79081.40000000001,-16451.98572051963,0.4858833964818534,0.8679877264478644
Q2 (Early-Med),Prednisone..C18.,61263.21069697514,76987.21666666669,15724.005969691549,0.7382600126090186,0.8679877264478644
Q2 (Early-Med),Cortisone.acetate..HILIC.,57813.06785912525,38883.16666666665,-18929.9011924586,0.054353593968509854,0.760950315559138
Q2 (Early-Med),Dexamethasone.acetate.anhydrous..C18.,48634.5964285804,34926.99999999999,-13707.596428580408,0.12624169938073437,0.8679877264478644
Q2 (Early-Med),Fludrocortisone.acetate..HILIC.,31099.392852781755,33369.66666666667,2270.2738138849163,0.5712970210543036,0.8679877264478644
Q2 (Early-Med),Fludrocortisone..C18.,56549.54286142905,58765.833333333336,2216.2904719042854,0.8679877264478644,0.8679877264478644
Q2 (Early-Med),Hydrocortisone.sodium.succinate..HILIC.,39428.26785612597,37618.9,-1809.3678561259658,0.7970261466983833,0.8679877264478644
Q2 (Early-Med),Mycophenolic.acid.O.acyl.glucuronide..C18.,1326826.060496417,1522970.4000000001,196144.33950358303,0.6068178215768285,0.8679877264478644
