Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Below Median,Mycophenolate..C18.,19.97985512424635,19.962854078492736,-0.017001045753612942,1,1
Below Median,Mycophenolate..HILIC.,24.71539829603646,25.264321000327644,0.5489227042911828,0.39095813723718,0.814859166833029
Below Median,X11.Dehydrocorticosterone..HILIC.,15.588287179712333,15.134394271562641,-0.4538929081496921,0.18071657147528322,0.814859166833029
Below Median,Prednisone..HILIC.,15.476144987388256,15.417578984613739,-0.0585660027745174,0.8824178342234441,1
Below Median,Cortisone..HILIC.,15.088022183223943,14.994702620502354,-0.09331956272158948,1,1
Below Median,Tetrahydrocorticosterone..C18.,20.028852499172274,20.072070176196416,0.04321767702414192,0.7786956133822276,1
Below Median,Tetrahydrocortisone..C18.,16.153765779990838,16.31917464476318,0.16540886477234196,0.37484781440893206,0.814859166833029
Below Median,Prednisone..C18.,15.82844398135159,16.42244919593811,0.5940052145865202,0.4074295834165145,0.814859166833029
Below Median,Cortisone.acetate..HILIC.,15.742306830513764,15.53024479912948,-0.21206203138428315,0.04916765507365827,0.6883471710312158
Below Median,Dexamethasone.acetate.anhydrous..C18.,15.641470418241104,15.207963789539354,-0.4335066287017497,1,1
Below Median,Fludrocortisone.acetate..HILIC.,14.661098947324188,14.864592474265704,0.20349352694151612,0.390976222228629,0.814859166833029
Below Median,Fludrocortisone..C18.,15.738248013497333,15.581088779321496,-0.15715923417583788,0.18805543465054136,0.814859166833029
Below Median,Hydrocortisone.sodium.succinate..HILIC.,14.95635351285878,14.888738540728358,-0.06761497213042134,0.8941029108692156,1
Below Median,Mycophenolic.acid.O.acyl.glucuronide..C18.,19.85912131509288,20.180351363757556,0.321230048664674,0.5740751317789723,1
