Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Above Median,Mycophenolate..C18.,1122258.5499999998,816340.1000000008,-305918.449999999,0.09046035513769149,0.6040320211186802
Above Median,Mycophenolate..HILIC.,24896783.540163577,7272040.784061144,-17624742.75610243,0.1356353338185617,0.6040320211186802
Above Median,X11.Dehydrocorticosterone..HILIC.,37046.59999999998,32434.700000000015,-4611.899999999961,0.9830859516929095,0.9830859516929095
Above Median,Prednisone..HILIC.,37368.200000000026,48707.9,11339.699999999975,0.20798125186657992,0.6040320211186802
Above Median,Cortisone..HILIC.,27242.85000000001,28687.699999999997,1444.8499999999876,0.8323858686563965,0.8964155508607347
Above Median,Tetrahydrocorticosterone..C18.,1068794.4,1116184.9975962506,47390.59759625071,0.21572572182810007,0.6040320211186802
Above Median,Tetrahydrocortisone..C18.,58995.44999999998,69067.79999999994,10072.349999999962,0.37977181677765237,0.7595436335553047
Above Median,Prednisone..C18.,57507.99999999997,47720.00000000008,-9787.99999999989,0.5186241958740256,0.8067771798506147
Above Median,Cortisone.acetate..HILIC.,48641.84999999999,49851.699999999924,1209.849999999933,0.7429039574914543,0.8667212837400301
Above Median,Dexamethasone.acetate.anhydrous..C18.,47939.54999999996,32293.19999999999,-15646.34999999997,0.6567176544162096,0.835822469256994
Above Median,Fludrocortisone.acetate..HILIC.,25304.899999999994,24387.600000000002,-917.299999999992,0.30472453199017124,0.7110239079770663
Above Median,Fludrocortisone..C18.,55693.500000000044,60892.000000000044,5198.5,0.5186424727611094,0.8067771798506147
Above Median,Hydrocortisone.sodium.succinate..HILIC.,28490.70000000001,25611.500000000004,-2879.200000000008,0.6339682103615031,0.835822469256994
Above Median,Mycophenolic.acid.O.acyl.glucuronide..C18.,1171116.3000000003,1013347.9977290021,-157768.30227099813,0.10545592020143738,0.6040320211186802
