Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Below Median,Mycophenolate..C18.,1034036.099999999,1021922.3000000003,-12113.799999998766,1,1
Below Median,Mycophenolate..HILIC.,27547122.6,40301242.99999998,12754120.399999976,0.39095813723718,0.814859166833029
Below Median,X11.Dehydrocorticosterone..HILIC.,49265.39999999998,35967.199999999975,-13298.200000000004,0.18071657147528322,0.814859166833029
Below Median,Prednisone..HILIC.,45580.99999999999,43767.70000000004,-1813.299999999952,0.8824178342234441,1
Below Median,Cortisone..HILIC.,34829.499999999985,32647.899999999983,-2181.600000000002,1,1
Below Median,Tetrahydrocorticosterone..C18.,1069757.5999999992,1102288.3000000005,32530.70000000135,0.7786956133822276,1
Below Median,Tetrahydrocortisone..C18.,72906.80000000002,81763.80000000008,8857.000000000058,0.37484781440893206,0.814859166833029
Below Median,Prednisone..C18.,58188.40000000003,87831.40000000001,29642.999999999978,0.4074295834165145,0.814859166833029
Below Median,Cortisone.acetate..HILIC.,54815.900000000016,47322.699999999924,-7493.200000000092,0.04916765507365827,0.6883471710312158
Below Median,Dexamethasone.acetate.anhydrous..C18.,51115.40000000003,37848.9,-13266.50000000003,1,1
Below Median,Fludrocortisone.acetate..HILIC.,25907.800000000003,29832.399999999994,3924.5999999999913,0.390976222228629,0.814859166833029
Below Median,Fludrocortisone..C18.,54661.90000000001,49020.20000000001,-5641.699999999997,0.18805543465054136,0.814859166833029
Below Median,Hydrocortisone.sodium.succinate..HILIC.,31791.50000000001,30335.89999999999,-1455.6000000000204,0.8941029108692156,1
Below Median,Mycophenolic.acid.O.acyl.glucuronide..C18.,951023.4,1188204.200000001,237180.80000000086,0.5740751317789723,1
