Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Early (≤30 days),Mycophenolate..C18.,1034036.099999999,958866.6999999996,-75169.39999999944,0.9926905422037515,0.9926905422037515
Early (≤30 days),Mycophenolate..HILIC.,28072741.00000003,40802969.49999997,12730228.49999994,0.4416533159205662,0.9569534382042477
Early (≤30 days),X11.Dehydrocorticosterone..HILIC.,50130.49999999995,35586.34999999998,-14544.149999999972,0.07820432020025803,0.5474302414018062
Early (≤30 days),Prednisone..HILIC.,45868.99999999999,41234.85000000002,-4634.149999999972,0.87622654000719,0.9926905422037515
Early (≤30 days),Cortisone..HILIC.,34829.499999999985,32605.15004071274,-2224.3499592872467,0.7596748867910432,0.9926905422037515
Early (≤30 days),Tetrahydrocorticosterone..C18.,1073125.699999999,1117296.8499999996,44171.150000000605,0.7207461473885646,0.9926905422037515
Early (≤30 days),Tetrahydrocortisone..C18.,72407.80000000003,85889.40000000008,13481.60000000005,0.22036508697294196,0.6170222435242375
Early (≤30 days),Prednisone..C18.,58188.40000000003,92707.70000000004,34519.30000000001,0.1849721467382568,0.6170222435242375
Early (≤30 days),Cortisone.acetate..HILIC.,56029.299999999974,47964.49999999996,-8064.80000000001,0.0764954035253483,0.5474302414018062
Early (≤30 days),Dexamethasone.acetate.anhydrous..C18.,51115.40000000003,41872.499999999985,-9242.900000000045,0.9488673294752255,0.9926905422037515
Early (≤30 days),Fludrocortisone.acetate..HILIC.,26364.399999999965,29861.950000000004,3497.5500000000393,0.5147174066630948,0.9569534382042477
Early (≤30 days),Fludrocortisone..C18.,58931.20000000001,50297.95000000001,-8633.25,0.16336977244274903,0.6170222435242375
Early (≤30 days),Hydrocortisone.sodium.succinate..HILIC.,33594.59999999998,28980.34999999999,-4614.249999999985,0.8474194347242824,0.9926905422037515
Early (≤30 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,917896.9000000006,1183622.900000002,265726.0000000014,0.546830536116713,0.9569534382042477
