Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Late (91-180 days),Mycophenolate..C18.,1075416.5,842943.8500000009,-232472.6499999991,0.27858731924360397,0.657499073044123
Late (91-180 days),Mycophenolate..HILIC.,24896783.540163577,20423822.692030586,-4472960.84813299,0.5122531379804476,0.657499073044123
Late (91-180 days),X11.Dehydrocorticosterone..HILIC.,24860.75,62186.250000000044,37325.500000000044,0.45535779137535437,0.657499073044123
Late (91-180 days),Prednisone..HILIC.,37727.35000000002,56641.84999999993,18914.499999999913,0.07185761957730813,0.657499073044123
Late (91-180 days),Cortisone..HILIC.,30417.550000000017,30309.800025304125,-107.74997469589289,0.49115684093437145,0.657499073044123
Late (91-180 days),Tetrahydrocorticosterone..C18.,1087910.3499999992,1156879.1487981244,68968.79879812524,0.5635706340378197,0.657499073044123
Late (91-180 days),Tetrahydrocortisone..C18.,60082.15000000005,70194.34999999995,10112.199999999895,0.4417126287043327,0.657499073044123
Late (91-180 days),Prednisone..C18.,65185.94990422651,51268.450000000004,-13917.499904226504,0.5268631813125695,0.657499073044123
Late (91-180 days),Cortisone.acetate..HILIC.,47321.05,49027.09999999995,1706.0499999999447,0.8047274749721912,0.8666295884315905
Late (91-180 days),Dexamethasone.acetate.anhydrous..C18.,45968.05000000005,24724.899999999994,-21243.150000000052,0.5304243567080777,0.657499073044123
Late (91-180 days),Fludrocortisone.acetate..HILIC.,25651.750000000004,13975.149999999992,-11676.600000000011,0.20850945494994438,0.657499073044123
Late (91-180 days),Fludrocortisone..C18.,54764.44999999994,50769.25,-3995.199999999939,0.978031145717464,0.978031145717464
Late (91-180 days),Hydrocortisone.sodium.succinate..HILIC.,28490.70000000001,24769.950000000008,-3720.7500000000036,0.49115684093437145,0.657499073044123
Late (91-180 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,1183911.9500000004,1090736.498864501,-93175.4511354994,0.27858731924360397,0.657499073044123
