Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Q1 (Earliest),Mycophenolate..C18.,1144359.300000001,979890.7999999998,-164468.50000000116,0.8353464497873317,1
Q1 (Earliest),Mycophenolate..HILIC.,28517136.500000004,38914530.400000006,10397393.900000002,0.8353464497873317,1
Q1 (Earliest),X11.Dehydrocorticosterone..HILIC.,47099.40000000002,35586.34999999998,-11513.050000000047,0.1702997472479904,0.5960491153679665
Q1 (Earliest),Prednisone..HILIC.,47442.399999999936,38263.15000000001,-9179.249999999927,0.6657516266886154,1
Q1 (Earliest),Cortisone..HILIC.,34741.50000000001,36399.800040712755,1658.3000407127474,0.761240813030383,1
Q1 (Earliest),Tetrahydrocorticosterone..C18.,1112521.7,1117296.8499999996,4775.149999999674,0.9872461803692585,1
Q1 (Earliest),Tetrahydrocortisone..C18.,71787.70000000001,77730.70000000007,5943.000000000058,0.1415423334876322,0.5960491153679665
Q1 (Earliest),Prednisone..C18.,99223.70000000006,78277.60000000003,-20946.10000000002,0.6970139340316205,1
Q1 (Earliest),Cortisone.acetate..HILIC.,56102.59999999997,47964.49999999996,-8138.100000000006,0.13281012701937914,0.5960491153679665
Q1 (Earliest),Dexamethasone.acetate.anhydrous..C18.,62563.19999999996,48308.45,-14254.749999999964,1,1
Q1 (Earliest),Fludrocortisone.acetate..HILIC.,21763.599999999962,28143.249999999996,6379.650000000034,0.3952258766104215,1
Q1 (Earliest),Fludrocortisone..C18.,58931.20000000001,47485.500000000015,-11445.699999999997,0.10903609935213678,0.5960491153679665
Q1 (Earliest),Hydrocortisone.sodium.succinate..HILIC.,30459.00000000001,26725.54999999999,-3733.4500000000226,0.7369692002290313,1
Q1 (Earliest),Mycophenolic.acid.O.acyl.glucuronide..C18.,1093550.3999999987,1154157.7000000014,60607.30000000261,0.9617515593109389,1
