Stratum,Metabolite,Mean_0_1R,Mean_2R_plus,mean_diff,p_value,FDR,Analysis_Type,Test_Method,Median_0_1R,Median_2R_plus,median_diff,Median_No_2R,Median_Has_2R,n_no_2R,n_has_2R
Early (≤30 days),Mycophenolate..C18.,1142435.5212189478,1071935.1428571427,-70500.37836180511,0.7328265139493534,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Mycophenolate..HILIC.,39533480.726883665,39709716.43214286,176235.70525919646,0.9839670557801984,0.9839670557801984,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),X11.Dehydrocorticosterone..HILIC.,57055.743019751346,37449.45357142856,-19606.289448322786,0.08601429077473947,0.6021000354231764,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Prednisone..HILIC.,50113.84418451272,47464.47857142858,-2649.365613084141,0.6651478285970654,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Cortisone..HILIC.,42360.639539422846,37049.810706114455,-5310.828833308391,0.5190441661932539,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Tetrahydrocorticosterone..C18.,1119337.7419285977,1123580.5571428565,4242.8152142588515,0.9578891046125586,0.9839670557801984,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Tetrahydrocortisone..C18.,75129.01396065282,91275.70714285715,16146.693182204326,0.309909085175864,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Prednisone..C18.,88956.18837143293,147034.42501170616,58078.23664027323,0.3690974418133065,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Cortisone.acetate..HILIC.,57474.40232897635,48725.04285714285,-8749.3594718335,0.07517718286407617,0.6021000354231764,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Dexamethasone.acetate.anhydrous..C18.,54930.59302326166,58165.1357142857,3234.542691024042,0.7720156830202297,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Fludrocortisone.acetate..HILIC.,28841.297674418605,29581.70714285715,740.4094684385454,0.8222709737521421,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Fludrocortisone..C18.,63288.57675034501,54000.828571428574,-9287.748178916438,0.1937666217565052,0.904244234863691,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Hydrocortisone.sodium.succinate..HILIC.,37502.78023126111,42882.89285245563,5380.112621194523,0.6432706018840915,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,1220528.0744225853,1158527.2857142852,-62000.7887083001,0.8139514423124309,0.9593161360441659,Predefined,ttest,NA,NA,NA,NA,NA,NA,NA
Early (≤30 days),Mycophenolate..C18.,NA,NA,NA,0.9926905422037515,0.9926905422037515,Predefined,wilcoxon_log2,19.97985512424635,19.867844548643077,-0.11201057560327143,NA,NA,NA,NA
Early (≤30 days),Mycophenolate..HILIC.,NA,NA,NA,0.4416533159205662,0.9569534382042477,Predefined,wilcoxon_log2,24.74266659858174,25.282061738978335,0.5393951403965964,NA,NA,NA,NA
Early (≤30 days),X11.Dehydrocorticosterone..HILIC.,NA,NA,NA,0.07820432020025803,0.5474302414018062,Predefined,wilcoxon_log2,15.613401031914343,15.118953762222432,-0.49444726969191066,NA,NA,NA,NA
Early (≤30 days),Prednisone..HILIC.,NA,NA,NA,0.87622654000719,0.9926905422037515,Predefined,wilcoxon_log2,15.485231866257735,15.328849761883323,-0.15638210437441202,NA,NA,NA,NA
Early (≤30 days),Cortisone..HILIC.,NA,NA,NA,0.7596748867910432,0.9926905422037515,Predefined,wilcoxon_log2,15.088022183223943,14.992811042403952,-0.09521114081999116,NA,NA,NA,NA
Early (≤30 days),Tetrahydrocorticosterone..C18.,NA,NA,NA,0.7207461473885646,0.9926905422037515,Predefined,wilcoxon_log2,20.033387645966393,20.091450937129782,0.05806329116338915,NA,NA,NA,NA
Early (≤30 days),Tetrahydrocortisone..C18.,NA,NA,NA,0.22036508697294196,0.6170222435242375,Predefined,wilcoxon_log2,16.14385751688184,16.388526235460247,0.24466871857840644,NA,NA,NA,NA
Early (≤30 days),Prednisone..C18.,NA,NA,NA,0.1849721467382568,0.6170222435242375,Predefined,wilcoxon_log2,15.82844398135159,16.498403105644066,0.6699591242924754,NA,NA,NA,NA
Early (≤30 days),Cortisone.acetate..HILIC.,NA,NA,NA,0.0764954035253483,0.5474302414018062,Predefined,wilcoxon_log2,15.77389387372162,15.54955026304734,-0.22434361067428021,NA,NA,NA,NA
Early (≤30 days),Dexamethasone.acetate.anhydrous..C18.,NA,NA,NA,0.9488673294752255,0.9926905422037515,Predefined,wilcoxon_log2,15.641470418241104,15.34702388351111,-0.29444653472999427,NA,NA,NA,NA
Early (≤30 days),Fludrocortisone.acetate..HILIC.,NA,NA,NA,0.5147174066630948,0.9569534382042477,Predefined,wilcoxon_log2,14.686303598563933,14.866020098749232,0.1797165001852985,NA,NA,NA,NA
Early (≤30 days),Fludrocortisone..C18.,NA,NA,NA,0.16336977244274903,0.6170222435242375,Predefined,wilcoxon_log2,15.846744047725874,15.617746341876721,-0.22899770584915302,NA,NA,NA,NA
Early (≤30 days),Hydrocortisone.sodium.succinate..HILIC.,NA,NA,NA,0.8474194347242824,0.9926905422037515,Predefined,wilcoxon_log2,15.035941775160996,14.821207496058861,-0.21473427910213516,NA,NA,NA,NA
Early (≤30 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,NA,NA,NA,0.546830536116713,0.9569534382042477,Predefined,wilcoxon_log2,19.807972592379777,20.174767277988746,0.3667946856089692,NA,NA,NA,NA
Early (≤30 days),Mycophenolate..C18.,NA,NA,NA,0.9926905422037515,0.9926905422037515,Predefined,wilcoxon_nonlog2,1034036.099999999,958866.6999999996,-75169.39999999944,NA,NA,NA,NA
Early (≤30 days),Mycophenolate..HILIC.,NA,NA,NA,0.4416533159205662,0.9569534382042477,Predefined,wilcoxon_nonlog2,28072741.00000003,40802969.49999997,12730228.49999994,NA,NA,NA,NA
Early (≤30 days),X11.Dehydrocorticosterone..HILIC.,NA,NA,NA,0.07820432020025803,0.5474302414018062,Predefined,wilcoxon_nonlog2,50130.49999999995,35586.34999999998,-14544.149999999972,NA,NA,NA,NA
Early (≤30 days),Prednisone..HILIC.,NA,NA,NA,0.87622654000719,0.9926905422037515,Predefined,wilcoxon_nonlog2,45868.99999999999,41234.85000000002,-4634.149999999972,NA,NA,NA,NA
Early (≤30 days),Cortisone..HILIC.,NA,NA,NA,0.7596748867910432,0.9926905422037515,Predefined,wilcoxon_nonlog2,34829.499999999985,32605.15004071274,-2224.3499592872467,NA,NA,NA,NA
Early (≤30 days),Tetrahydrocorticosterone..C18.,NA,NA,NA,0.7207461473885646,0.9926905422037515,Predefined,wilcoxon_nonlog2,1073125.699999999,1117296.8499999996,44171.150000000605,NA,NA,NA,NA
Early (≤30 days),Tetrahydrocortisone..C18.,NA,NA,NA,0.22036508697294196,0.6170222435242375,Predefined,wilcoxon_nonlog2,72407.80000000003,85889.40000000008,13481.60000000005,NA,NA,NA,NA
Early (≤30 days),Prednisone..C18.,NA,NA,NA,0.1849721467382568,0.6170222435242375,Predefined,wilcoxon_nonlog2,58188.40000000003,92707.70000000004,34519.30000000001,NA,NA,NA,NA
Early (≤30 days),Cortisone.acetate..HILIC.,NA,NA,NA,0.0764954035253483,0.5474302414018062,Predefined,wilcoxon_nonlog2,56029.299999999974,47964.49999999996,-8064.80000000001,NA,NA,NA,NA
Early (≤30 days),Dexamethasone.acetate.anhydrous..C18.,NA,NA,NA,0.9488673294752255,0.9926905422037515,Predefined,wilcoxon_nonlog2,51115.40000000003,41872.499999999985,-9242.900000000045,NA,NA,NA,NA
Early (≤30 days),Fludrocortisone.acetate..HILIC.,NA,NA,NA,0.5147174066630948,0.9569534382042477,Predefined,wilcoxon_nonlog2,26364.399999999965,29861.950000000004,3497.5500000000393,NA,NA,NA,NA
Early (≤30 days),Fludrocortisone..C18.,NA,NA,NA,0.16336977244274903,0.6170222435242375,Predefined,wilcoxon_nonlog2,58931.20000000001,50297.95000000001,-8633.25,NA,NA,NA,NA
Early (≤30 days),Hydrocortisone.sodium.succinate..HILIC.,NA,NA,NA,0.8474194347242824,0.9926905422037515,Predefined,wilcoxon_nonlog2,33594.59999999998,28980.34999999999,-4614.249999999985,NA,NA,NA,NA
Early (≤30 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,NA,NA,NA,0.546830536116713,0.9569534382042477,Predefined,wilcoxon_nonlog2,917896.9000000006,1183622.900000002,265726.0000000014,NA,NA,NA,NA
Early (≤30 days),Mycophenolate..C18.,NA,NA,NA,0.5028011204481793,0.8799019607843137,Predefined,patient_level,NA,NA,197881.19999999995,874576.2000000002,1072457.4000000001,5,13
Early (≤30 days),Mycophenolate..HILIC.,NA,NA,NA,0.14332399626517275,0.5016339869281047,Predefined,patient_level,NA,NA,16514389.000000097,19112766.999999993,35627156.00000009,5,13
Early (≤30 days),X11.Dehydrocorticosterone..HILIC.,NA,NA,NA,0.5028011204481793,0.8799019607843137,Predefined,patient_level,NA,NA,13580.249999999978,37202.15000000004,50782.400000000016,5,13
