Metabolite,Mean_No_2R,Mean_Has_2R,mean_diff,p_value,n_no_2R,n_has_2R,FDR
POD,40.15384615384615,41,0.8461538461538467,0.8244036848458917,39,18,0.8244036848458917
Mycophenolate..C18.,1124972.7498999406,1083084.5529267958,-41888.196973144775,0.6229799217329718,39,18,0.6674784875710412
Mycophenolate..HILIC.,40028847.93105207,30815692.324453525,-9213155.606598541,0.10796613509370859,39,18,0.41163795666176284
X11.Dehydrocorticosterone..HILIC.,66662.05448354917,39453.47499999999,-27208.579483549183,0.002592682412711558,39,18,0.03889023619067337
Prednisone..HILIC.,40304.96153719498,42425.525,2120.5634628050248,0.44961977891686133,39,18,0.6674784875710412
Cortisone..HILIC.,35529.10641139209,33208.29722815164,-2320.809183240446,0.5181223720255248,39,18,0.6674784875710412
Tetrahydrocorticosterone..C18.,1063653.9539302713,1081099.8082956816,17445.854365410283,0.5830962960604122,39,18,0.6674784875710412
Tetrahydrocortisone..C18.,80435.18074713938,68281.80278747497,-12153.377959664416,0.26113923807778033,39,18,0.5595840815952435
Prednisone..C18.,68498.57820068355,62292.15276634782,-6206.425434335732,0.306406832957174,39,18,0.5623953498305057
Cortisone.acetate..HILIC.,52868.59230733521,51685.46944444443,-1183.1228628907775,0.5943211056481046,39,18,0.6674784875710412
Dexamethasone.acetate.anhydrous..C18.,46078.38076843171,49976.75555555555,3898.3747871238447,0.3374372098983034,39,18,0.5623953498305057
Fludrocortisone.acetate..HILIC.,24471.810256378434,27020.86388774419,2549.0536313657576,0.16085500317039567,39,18,0.48256500951118697
Fludrocortisone..C18.,57327.70127995415,53643.644444444435,-3684.056835509713,0.23995468691351637,39,18,0.5595840815952435
Hydrocortisone.sodium.succinate..HILIC.,35456.16282084203,30431.880555116175,-5024.282265725855,0.06535504822729242,39,18,0.41163795666176284
Mycophenolic.acid.O.acyl.glucuronide..C18.,1217267.4577211244,1038772.2388698296,-178495.21885129483,0.1097701217764701,39,18,0.41163795666176284
