Metabolite,Median_No_2R,Median_Has_2R,median_diff,p_value,n_no_2R,n_has_2R,FDR
POD,39,41.5,2.5,0.40471305011881636,39,18,0.6745217501980273
Mycophenolate..C18.,1057360.1000000008,1017747.0249999994,-39613.07500000135,0.7920931221729691,39,18,0.8768855720147525
Mycophenolate..HILIC.,32925218.650000002,25731670.899999976,-7193547.750000026,0.18513201209552924,39,18,0.60876751360882
X11.Dehydrocorticosterone..HILIC.,51261.700000000026,43351.25,-7910.450000000026,0.11686718577010374,39,18,0.60876751360882
Prednisone..HILIC.,37557.999999999985,41988.374999999985,4430.375,0.31837415177667,39,18,0.6126932483381465
Cortisone..HILIC.,30192.599999999984,30087.049999999992,-105.549999999992,0.8850828160030743,39,18,0.8850828160030743
Tetrahydrocorticosterone..C18.,1041395.5999999988,1086231.2246611388,44835.62466114003,0.3020025326502498,39,18,0.6126932483381465
Tetrahydrocortisone..C18.,67124.60000000008,64546.44999999998,-2578.150000000096,0.6615307996157835,39,18,0.8269134995197294
Prednisone..C18.,66338.20000000006,59739.124904226475,-6599.07509577358,0.6037503552873604,39,18,0.8232959390282187
Cortisone.acetate..HILIC.,51737.10000000001,52392.399999999994,655.2999999999811,0.8184265338804356,39,18,0.8768855720147525
Dexamethasone.acetate.anhydrous..C18.,45277.34999999998,51127.900000000016,5850.550000000039,0.1340104890177944,39,18,0.60876751360882
Fludrocortisone.acetate..HILIC.,24691.399999999994,25792.600000000006,1101.2000000000116,0.2029225045362733,39,18,0.60876751360882
Fludrocortisone..C18.,55448.79999999991,54151.97499999995,-1296.8249999999607,0.5343708806119405,39,18,0.8015563209179107
Hydrocortisone.sodium.succinate..HILIC.,34622.90000000004,27881.87499999999,-6741.025000000049,0.0507335511223249,39,18,0.60876751360882
Mycophenolic.acid.O.acyl.glucuronide..C18.,1081038.5999999992,1059419.2249999999,-21619.3749999993,0.32676973244701146,39,18,0.6126932483381465
