Stratum,Metabolite,Median_No_2R,Median_Has_2R,median_diff,p_value,n_no_2R,n_has_2R,FDR
Early (≤30 days),Mycophenolate..C18.,874576.2000000002,1072457.4000000001,197881.19999999995,0.5028011204481793,5,13,0.8799019607843137
Early (≤30 days),Mycophenolate..HILIC.,19112766.999999993,35627156.00000009,16514389.000000097,0.14332399626517275,5,13,0.5016339869281047
Early (≤30 days),X11.Dehydrocorticosterone..HILIC.,37202.15000000004,50782.400000000016,13580.249999999978,0.5028011204481793,5,13,0.8799019607843137
Early (≤30 days),Prednisone..HILIC.,46430.000000000015,47442.399999999936,1012.3999999999214,0.9999999999999998,5,13,1
Early (≤30 days),Cortisone..HILIC.,46172.15000000003,34741.50000000001,-11430.650000000023,0.09453781512605043,5,13,0.4411764705882354
Early (≤30 days),Tetrahydrocorticosterone..C18.,1062268.200000001,1132305.3999999985,70037.19999999763,1,5,13,1
Early (≤30 days),Tetrahydrocortisone..C18.,77097.19999999998,69980.69999999995,-7116.500000000029,0.3359010270774977,5,13,0.783769063180828
Early (≤30 days),Prednisone..C18.,84507.15000000005,64286.69999999991,-20220.450000000143,0.09453781512605043,5,13,0.4411764705882354
Early (≤30 days),Cortisone.acetate..HILIC.,51619.249999999985,53182.94999999998,1563.699999999997,0.7028478057889822,5,13,1
Early (≤30 days),Dexamethasone.acetate.anhydrous..C18.,63846.10000000006,43259.4,-20586.700000000055,0.09453781512605043,5,13,0.4411764705882354
Early (≤30 days),Fludrocortisone.acetate..HILIC.,24641.45,31306.8,6665.3499999999985,0.24603174603174605,5,13,0.6888888888888889
Early (≤30 days),Fludrocortisone..C18.,57100.64999999998,56498.49999999999,-602.1499999999869,0.8489729225023341,5,13,1
Early (≤30 days),Hydrocortisone.sodium.succinate..HILIC.,26265.650013819217,28988.19999999998,2722.549986180762,1,5,13,1
Early (≤30 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,871357.050000001,1111675.1,240318.04999999912,0.92413632119514455,5,13,1
