Stratum,Metabolite,Median_0_1R,Median_2R_plus,median_diff,p_value,FDR
Late (91-180 days),Mycophenolate..C18.,20.03620880265696,19.684358141689323,-0.3518506609676386,0.27858731924360397,0.657499073044123
Late (91-180 days),Mycophenolate..HILIC.,24.568539673743402,23.89741945156239,-0.6711202221810133,0.5122531379804476,0.657499073044123
Late (91-180 days),X11.Dehydrocorticosterone..HILIC.,14.563847079831952,15.871560417103328,1.3077133372713767,0.45535779137535437,0.657499073044123
Late (91-180 days),Prednisone..HILIC.,15.203320308019874,15.784451276923015,0.5811309689031408,0.07185761957730813,0.657499073044123
Late (91-180 days),Cortisone..HILIC.,14.89261625122649,14.885427780757759,-0.0071884704687317225,0.49115684093437145,0.657499073044123
Late (91-180 days),Tetrahydrocorticosterone..C18.,20.052898095741305,20.140913631839275,0.08801553609796997,0.5635706340378197,0.657499073044123
Late (91-180 days),Tetrahydrocortisone..C18.,15.874607862968144,16.09888148962852,0.2242736266603771,0.4417126287043327,0.657499073044123
Late (91-180 days),Prednisone..C18.,15.98707524611294,15.624331371427573,-0.36274387468536773,0.5268631813125695,0.657499073044123
Late (91-180 days),Cortisone.acetate..HILIC.,15.530113004769142,15.581087747038932,0.050974742269790596,0.8047274749721912,0.8666295884315905
Late (91-180 days),Dexamethasone.acetate.anhydrous..C18.,15.488323811139617,14.522709485691523,-0.9656143254480938,0.5304243567080777,0.657499073044123
Late (91-180 days),Fludrocortisone.acetate..HILIC.,14.646666123917399,12.735594194039408,-1.9110719298779912,0.20850945494994438,0.657499073044123
Late (91-180 days),Fludrocortisone..C18.,15.740659172168208,15.623062933579723,-0.11759623858848478,0.978031145717464,0.978031145717464
Late (91-180 days),Hydrocortisone.sodium.succinate..HILIC.,14.798146253310016,14.595470279362075,-0.20267597394794024,0.49115684093437145,0.657499073044123
Late (91-180 days),Mycophenolic.acid.O.acyl.glucuronide..C18.,20.17500393067306,20.053230752976674,-0.12177317769638663,0.27858731924360397,0.657499073044123
